,Studies,Action,Log_hrs,Study_hrs
11389,s37348,Quality-checks  ,8,203.5
11410,s37348,Transformation-of-data  ,8,203.5
11424,s37350,Initial-review-and-planning  ,6.5,199.5
11421,s37350,Transformation-of-data  ,6,199.5
11422,s37350,Quality-checks  ,0.5,199.5
11423,s37350,Transformation-of-data  ,6,199.5
11430,s37350,Quality-checks  ,4.5,199.5
11412,s37350,Non-curation  ,1.5,199.5
11413,s37350,Initial-review-and-planning  ,8.5,199.5
11427,s37350,Quality-checks  ,4.5,199.5
11426,s37350,Quality-checks  ,8.5,199.5
11428,s37350,Non-curation  ,3.5,199.5
11420,s37350,Non-curation  ,8,199.5
11445,s37350,Initial-review-and-planning  ,3,199.5
11416,s37350,Non-curation  ,1.5,199.5
11419,s37350,Initial-review-and-planning  ,5,199.5
11441,s37350,Documentation  ,6,199.5
11425,s37350,Transformation-of-data  ,5.5,199.5
11429,s37350,Non-curation  ,8.5,199.5
11440,s37350,Quality-checks  ,8.5,199.5
11431,s37350,Transformation-of-data  ,8.5,199.5
11415,s37350,Initial-review-and-planning  ,4,199.5
11418,s37350,Other  ,2,199.5
11435,s37350,Transformation-of-data  ,5,199.5
11436,s37350,Initial-review-and-planning  ,3,199.5
11437,s37350,Transformation-of-data  ,4.5,199.5
11438,s37350,Initial-review-and-planning  ,4.5,199.5
11433,s37350,Quality-checks  ,3,199.5
11439,s37350,Quality-checks  ,8.5,199.5
11443,s37350,Documentation  ,8.5,199.5
11444,s37350,Communication-for-study  ,8.5,199.5
11417,s37350,Initial-review-and-planning  ,6,199.5
11434,s37350,Transformation-of-data  ,1.5,199.5
11446,s37350,Initial-review-and-planning  ,6,199.5
11414,s37350,Quality-checks  ,3,199.5
11442,s37350,Communication-for-study  ,8,199.5
11432,s37350,Transformation-of-data  ,6,199.5
11451,s37354,Quality-checks  ,1.5,12.5
11450,s37354,Initial-review-and-planning  ,4,12.5
11452,s37354,Quality-checks  ,1.5,12.5
11449,s37354,Initial-review-and-planning  ,0.5,12.5
11448,s37354,Quality-checks  ,0.5,12.5
11447,s37354,Quality-checks  ,,12.5
11453,s37354,Other  ,0.5,12.5
11460,s37355,Quality-checks  ,7,104.5
11456,s37355,Communication-for-study  ,8,104.5
11461,s37355,Transformation-of-data  ,,104.5
11458,s37355,Transformation-of-data  ,7.5,104.5
11459,s37355,Quality-checks  ,3.5,104.5
11463,s37355,Transformation-of-data  ,8,104.5
11466,s37355,Other  ,1.5,104.5
11457,s37355,Quality-checks  ,6,104.5
11462,s37355,Transformation-of-data  ,8,104.5
11467,s37355,Quality-checks  ,6,104.5
11464,s37355,Initial-review-and-planning  ,6.5,104.5
11455,s37355,Quality-checks  ,1,104.5
11469,s37355,Transformation-of-data  ,3.5,104.5
11470,s37355,Transformation-of-data  ,6.5,104.5
11465,s37355,Quality-checks  ,4,104.5
11468,s37355,Transformation-of-data  ,8,104.5
11454,s37355,Initial-review-and-planning  ,8,104.5
11495,s37356,Quality-checks  ,4.5,62
11476,s37356,Other  ,2,62
11479,s37356,Non-curation  ,0.5,62
11480,s37356,Quality-checks  ,,62
11478,s37356,Quality-checks  ,5,62
11484,s37356,Documentation  ,2,62
11481,s37356,Quality-checks  ,,62
11475,s37356,Documentation  ,0.5,62
11474,s37356,Non-curation  ,0.5,62
11473,s37356,Non-curation  ,1.5,62
11472,s37356,Initial-review-and-planning  ,,62
11471,s37356,Non-curation  ,0.5,62
11477,s37356,Quality-checks  ,0.5,62
11483,s37356,Metadata-study-level  ,6.5,62
11494,s37356,Initial-review-and-planning  ,0.5,62
11490,s37356,Non-curation  ,1.5,62
11485,s37356,Documentation  ,0.5,62
11491,s37356,Non-curation  ,1,62
11486,s37356,Non-curation  ,0.5,62
11482,s37356,Initial-review-and-planning  ,8.5,62
11488,s37356,Quality-checks  ,0.5,62
11487,s37356,Non-curation  ,0.5,62
11489,s37356,Non-curation  ,0.5,62
11492,s37356,Initial-review-and-planning  ,4,62
11493,s37356,Non-curation  ,0.5,62
11507,s37357,Quality-checks  ,0.25,89.75
11496,s37357,Initial-review-and-planning  ,7.5,89.75
11506,s37357,Transformation-of-data  ,2.5,89.75
11500,s37357,Metadata-study-level  ,8,89.75
11497,s37357,Quality-checks  ,2,89.75
11498,s37357,Initial-review-and-planning  ,7.5,89.75
11499,s37357,Transformation-of-data  ,5.5,89.75
11502,s37357,Metadata-study-level  ,8,89.75
11512,s37357,Quality-checks  ,1.5,89.75
11504,s37357,Transformation-of-data  ,1,89.75
11511,s37357,Metadata-study-level  ,8,89.75
11510,s37357,Initial-review-and-planning  ,1.5,89.75
11509,s37357,Transformation-of-data  ,0.5,89.75
11508,s37357,Transformation-of-data  ,8,89.75
11503,s37357,Transformation-of-data  ,4.5,89.75
11501,s37357,Quality-checks  ,4.5,89.75
11505,s37357,Transformation-of-data  ,5,89.75
11526,s37358,Documentation  ,1.5,132.5
11525,s37358,Quality-checks  ,2,132.5
11520,s37358,Quality-checks  ,4.5,132.5
11513,s37358,Quality-checks  ,8,132.5
11529,s37358,Quality-checks  ,2,132.5
11528,s37358,Quality-checks  ,8,132.5
11527,s37358,Documentation  ,1,132.5
11523,s37358,Initial-review-and-planning  ,1.5,132.5
11518,s37358,Quality-checks  ,1,132.5
11519,s37358,Quality-checks  ,2,132.5
11516,s37358,Quality-checks  ,3.5,132.5
11515,s37358,Other  ,1,132.5
11514,s37358,Quality-checks  ,2,132.5
11521,s37358,Quality-checks  ,,132.5
11522,s37358,Quality-checks  ,8,132.5
11524,s37358,Quality-checks  ,8,132.5
11517,s37358,Quality-checks  ,2,132.5
11537,s37359,Quality-checks  ,0.5,19.5
11536,s37359,Quality-checks  ,0.5,19.5
11534,s37359,Initial-review-and-planning  ,1,19.5
11533,s37359,Initial-review-and-planning  ,1,19.5
11538,s37359,Non-curation  ,0.5,19.5
11535,s37359,Metadata-study-level  ,2.5,19.5
11532,s37359,Initial-review-and-planning  ,8.5,19.5
11531,s37359,Quality-checks  ,4,19.5
11530,s37359,Quality-checks  ,1,19.5
11543,s37360,Transformation-of-data  ,8,59
11541,s37360,Initial-review-and-planning  ,6,59
11542,s37360,Initial-review-and-planning  ,8,59
11539,s37360,Non-curation  ,8,59
11546,s37360,Non-curation  ,8,59
11540,s37360,Transformation-of-data  ,8,59
11545,s37360,Transformation-of-data  ,6,59
11544,s37360,Transformation-of-data  ,7,59
11567,s37364,Transformation-of-data  ,8,150.5
11547,s37364,Transformation-of-data  ,8,150.5
11549,s37364,Transformation-of-data  ,6,150.5
11550,s37364,Quality-checks  ,1,150.5
11548,s37364,Other  ,1,150.5
11552,s37364,Non-curation  ,8,150.5
11553,s37364,Quality-checks  ,4,150.5
11554,s37364,Metadata-study-level  ,4,150.5
11556,s37364,Quality-checks  ,0.5,150.5
11562,s37364,Metadata-study-level  ,8,150.5
11560,s37364,Metadata-study-level  ,8,150.5
11557,s37364,Metadata-study-level  ,4,150.5
11558,s37364,Initial-review-and-planning  ,6,150.5
11555,s37364,Metadata-study-level  ,8,150.5
11559,s37364,Metadata-study-level  ,8,150.5
11570,s37364,Metadata-study-level  ,8,150.5
11569,s37364,Metadata-study-level  ,8,150.5
11568,s37364,Metadata-study-level  ,6,150.5
11566,s37364,Transformation-of-data  ,8,150.5
11565,s37364,Metadata-study-level  ,8,150.5
11564,s37364,Initial-review-and-planning  ,8,150.5
11551,s37364,Transformation-of-data  ,8,150.5
11563,s37364,Initial-review-and-planning  ,6,150.5
11561,s37364,Metadata-study-level  ,8,150.5
11571,s37365,Quality-checks  ,3,3
11573,s37373,Initial-review-and-planning  ,1,83
11574,s37373,Quality-checks  ,5,83
11572,s37373,Transformation-of-data  ,8,83
11575,s37373,Other  ,0.5,83
11576,s37373,Documentation  ,8,83
11578,s37373,Transformation-of-data  ,8,83
11579,s37373,Quality-checks  ,1.5,83
11580,s37373,Quality-checks  ,2,83
11581,s37373,Quality-checks  ,2,83
11582,s37373,Transformation-of-data  ,8,83
11589,s37373,Quality-checks  ,3,83
11584,s37373,Quality-checks  ,0.5,83
11585,s37373,Quality-checks  ,0.5,83
11583,s37373,Documentation  ,8,83
11588,s37373,Quality-checks  ,3,83
11577,s37373,Metadata-study-level  ,8,83
11586,s37373,Initial-review-and-planning  ,8,83
11587,s37373,Transformation-of-data  ,8,83
11591,s37374,Communication-for-study  ,1.5,25
11592,s37374,Initial-review-and-planning  ,2,25
11590,s37374,Quality-checks  ,0.5,25
11595,s37374,Non-curation  ,2,25
11593,s37374,Initial-review-and-planning  ,7,25
11594,s37374,Quality-checks  ,,25
11599,s37374,Metadata-study-level  ,1,25
11596,s37374,Quality-checks  ,1,25
11597,s37374,Other  ,0.5,25
11598,s37374,Quality-checks  ,4.5,25
11608,s37375,Documentation  ,5,41.5
11605,s37375,Quality-checks  ,1,22
11606,s37375,Documentation  ,3,22
11604,s37375,Initial-review-and-planning  ,8,41.5
11602,s37375,Transformation-of-data  ,4,22
11600,s37375,Metadata-study-level  ,8,41.5
11611,s37375,Initial-review-and-planning  ,4,41.5
11617,s37375,Quality-checks  ,1.5,22
11609,s37375,Quality-checks  ,2,41.5
11603,s37375,Quality-checks  ,0.5,22
11601,s37375,Quality-checks  ,1.5,41.5
11613,s37375,Initial-review-and-planning  ,2,22
11616,s37375,Quality-checks  ,1,22
11614,s37375,Quality-checks  ,3,41.5
11607,s37375,Initial-review-and-planning  ,4,22
11612,s37375,Initial-review-and-planning  ,2,41.5
11615,s37375,Metadata-study-level  ,8,41.5
11610,s37375,Documentation  ,5,22
11618,s37376,Other  ,5,27.5
11630,s37376,Non-curation  ,2,27.5
11628,s37376,Quality-checks  ,2.5,27.5
11627,s37376,Metadata-study-level  ,1,27.5
11626,s37376,Quality-checks  ,,27.5
11624,s37376,Non-curation  ,1,27.5
11625,s37376,Quality-checks  ,0.5,27.5
11623,s37376,Quality-checks  ,2.5,27.5
11622,s37376,Quality-checks  ,1,27.5
11621,s37376,Communication-for-study  ,1.5,27.5
11619,s37376,Other  ,0.5,27.5
11620,s37376,Quality-checks  ,1,27.5
11629,s37376,Quality-checks  ,1,27.5
11640,s37377,Quality-checks  ,1,68.5
11632,s37377,Quality-checks  ,2,68.5
11644,s37377,Quality-checks  ,1,68.5
11636,s37377,Initial-review-and-planning  ,2.5,68.5
11633,s37377,Quality-checks  ,2,68.5
11638,s37377,Quality-checks  ,2,68.5
11637,s37377,Quality-checks  ,0.5,68.5
11647,s37377,Quality-checks  ,1,68.5
11631,s37377,Transformation-of-data  ,1,68.5
11639,s37377,Quality-checks  ,1,68.5
11643,s37377,Quality-checks  ,4,68.5
11635,s37377,Transformation-of-data  ,4,68.5
11642,s37377,Non-curation  ,2,68.5
11634,s37377,Quality-checks  ,1,68.5
11641,s37377,Transformation-of-data  ,2,68.5
11648,s37377,Transformation-of-data  ,1,68.5
11656,s37377,Transformation-of-data  ,1,68.5
11649,s37377,Quality-checks  ,2.5,68.5
11660,s37377,Non-curation  ,2,68.5
11654,s37377,Transformation-of-data  ,4,68.5
11653,s37377,Initial-review-and-planning  ,0.5,68.5
11658,s37377,Quality-checks  ,1,68.5
11650,s37377,Documentation  ,5,68.5
11655,s37377,Initial-review-and-planning  ,7,68.5
11645,s37377,Quality-checks  ,1.5,68.5
11652,s37377,Non-curation  ,1,68.5
11646,s37377,Initial-review-and-planning  ,8,68.5
11657,s37377,Documentation  ,1,68.5
11659,s37377,Quality-checks  ,2,68.5
11651,s37377,Documentation  ,4,68.5
11661,s37378,Quality-checks  ,3,91
11680,s37378,Initial-review-and-planning  ,0.5,91
11679,s37378,Quality-checks  ,0.5,91
11675,s37378,Non-curation  ,2.5,91
11678,s37378,Non-curation  ,2,91
11672,s37378,Quality-checks  ,3,91
11674,s37378,Non-curation  ,7,91
11665,s37378,Non-curation  ,8,91
11677,s37378,Quality-checks  ,3,91
11673,s37378,Initial-review-and-planning  ,2,91
11664,s37378,Quality-checks  ,7,91
11662,s37378,Quality-checks  ,8,91
11671,s37378,Quality-checks  ,4,91
11667,s37378,Non-curation  ,8,91
11670,s37378,Non-curation  ,8,91
11668,s37378,Non-curation  ,4,91
11669,s37378,Quality-checks  ,1,91
11666,s37378,Non-curation  ,1,91
11676,s37378,Non-curation  ,4.5,91
11663,s37378,Non-curation  ,8,91
11715,s37379,Transformation-of-data  ,8,240
11701,s37379,Quality-checks  ,2,240
11681,s37379,Documentation  ,3,240
11682,s37379,Non-curation  ,8,240
11683,s37379,Transformation-of-data  ,4,240
11684,s37379,Quality-checks  ,7,240
11687,s37379,Transformation-of-data  ,8,240
11688,s37379,Transformation-of-data  ,4,240
11702,s37379,Quality-checks  ,7,240
11689,s37379,Communication-for-study  ,4.5,240
11692,s37379,Non-curation  ,2.5,240
11686,s37379,Initial-review-and-planning  ,8,240
11694,s37379,Transformation-of-data  ,1.5,240
11695,s37379,Quality-checks  ,8,240
11696,s37379,Quality-checks  ,8,240
11697,s37379,Quality-checks  ,4,240
11698,s37379,Non-curation  ,5,240
11699,s37379,Other  ,1,240
11690,s37379,Transformation-of-data  ,8,240
11719,s37379,Quality-checks  ,,240
11720,s37379,Initial-review-and-planning  ,2,240
11685,s37379,Quality-checks  ,1,240
11714,s37379,Quality-checks  ,8,240
11727,s37379,Non-curation  ,6,240
11707,s37379,Transformation-of-data  ,8,240
11693,s37379,Initial-review-and-planning  ,1.5,240
11691,s37379,Transformation-of-data  ,8,240
11700,s37379,Non-curation  ,6,240
11721,s37379,Communication-for-study  ,2,240
11704,s37379,Initial-review-and-planning  ,1,240
11705,s37379,Initial-review-and-planning  ,8,240
11709,s37379,Quality-checks  ,3,240
11710,s37379,Initial-review-and-planning  ,5,240
11711,s37379,Initial-review-and-planning  ,6,240
11712,s37379,Transformation-of-data  ,,240
11703,s37379,Non-curation  ,3,240
11706,s37379,Initial-review-and-planning  ,8,240
11708,s37379,Initial-review-and-planning  ,8,240
11716,s37379,Metadata-study-level  ,8,240
11717,s37379,Transformation-of-data  ,3.5,240
11718,s37379,Quality-checks  ,3,240
11722,s37379,Quality-checks  ,2.5,240
11723,s37379,Quality-checks  ,2,240
11724,s37379,Transformation-of-data  ,8,240
11725,s37379,Documentation  ,2,240
11726,s37379,Transformation-of-data  ,4,240
11713,s37379,Communication-for-study  ,5,240
11741,s37380,Transformation-of-data  ,4,302.5
11737,s37380,Non-curation  ,4,302.5
11736,s37380,Communication-for-study  ,2.5,302.5
11739,s37380,Quality-checks  ,8,302.5
11740,s37380,Communication-for-study  ,6,302.5
11759,s37380,Transformation-of-data  ,7,302.5
11742,s37380,Metadata-study-level  ,8,302.5
11743,s37380,Non-curation  ,4,302.5
11735,s37380,Quality-checks  ,1.5,302.5
11745,s37380,Initial-review-and-planning  ,8,302.5
11744,s37380,Initial-review-and-planning  ,4,302.5
11748,s37380,Transformation-of-data  ,8,302.5
11734,s37380,Quality-checks  ,2,302.5
11728,s37380,Communication-for-study  ,3,302.5
11738,s37380,Quality-checks  ,2,302.5
11752,s37380,Quality-checks  ,8,302.5
11751,s37380,Non-curation  ,5,302.5
11757,s37380,Transformation-of-data  ,8,302.5
11732,s37380,Transformation-of-data  ,3,302.5
11754,s37380,Quality-checks  ,2,302.5
11753,s37380,Non-curation  ,2,302.5
11730,s37380,Communication-for-study  ,8,302.5
11755,s37380,Transformation-of-data  ,8,302.5
11750,s37380,Initial-review-and-planning  ,7,302.5
11758,s37380,Communication-for-study  ,2.5,302.5
11731,s37380,Quality-checks  ,2,302.5
11749,s37380,Communication-for-study  ,4,302.5
11729,s37380,Initial-review-and-planning  ,8,302.5
11787,s37380,Transformation-of-data  ,6.5,302.5
11756,s37380,Non-curation  ,2,302.5
11761,s37380,Initial-review-and-planning  ,1.5,302.5
11779,s37380,Transformation-of-data  ,4.5,302.5
11772,s37380,Transformation-of-data  ,6,302.5
11762,s37380,Transformation-of-data  ,5.5,302.5
11746,s37380,Quality-checks  ,8,302.5
11764,s37380,Transformation-of-data  ,8,302.5
11765,s37380,Transformation-of-data  ,4,302.5
11769,s37380,Non-curation  ,1,302.5
11767,s37380,Transformation-of-data  ,7,302.5
11768,s37380,Transformation-of-data  ,3,302.5
11771,s37380,Metadata-study-level  ,8,302.5
11770,s37380,Transformation-of-data  ,5,302.5
11766,s37380,Transformation-of-data  ,8,302.5
11763,s37380,Initial-review-and-planning  ,2,302.5
11773,s37380,Transformation-of-data  ,5,302.5
11733,s37380,Non-curation  ,8,302.5
11775,s37380,Non-curation  ,2,302.5
11786,s37380,Communication-for-study  ,2.5,302.5
11785,s37380,Communication-for-study  ,1,302.5
11774,s37380,Metadata-study-level  ,4,302.5
11747,s37380,Quality-checks  ,8.5,302.5
11784,s37380,Non-curation  ,3,302.5
11783,s37380,Communication-for-study  ,2.5,302.5
11776,s37380,Transformation-of-data  ,5,302.5
11781,s37380,Transformation-of-data  ,7.5,302.5
11780,s37380,Communication-for-study  ,1,302.5
11778,s37380,Transformation-of-data  ,5,302.5
11760,s37380,Transformation-of-data  ,7,302.5
11788,s37380,Initial-review-and-planning  ,8,302.5
11782,s37380,Transformation-of-data  ,8,302.5
11777,s37380,Initial-review-and-planning  ,5,302.5
11792,s37381,Non-curation  ,1,60.5
11795,s37381,Quality-checks  ,4,60.5
11791,s37381,Quality-checks  ,1,60.5
11790,s37381,Quality-checks  ,1,60.5
11789,s37381,Initial-review-and-planning  ,7,60.5
11793,s37381,Quality-checks  ,2,60.5
11796,s37381,Transformation-of-data  ,1,60.5
11794,s37381,Documentation  ,4,60.5
11799,s37381,Quality-checks  ,2,60.5
11797,s37381,Transformation-of-data  ,1,60.5
11802,s37381,Quality-checks  ,1,60.5
11804,s37381,Quality-checks  ,1,60.5
11806,s37381,Quality-checks  ,1.5,60.5
11808,s37381,Quality-checks  ,2,60.5
11801,s37381,Quality-checks  ,1,60.5
11798,s37381,Initial-review-and-planning  ,5,60.5
11800,s37381,Transformation-of-data  ,4,60.5
11805,s37381,Quality-checks  ,2,60.5
11803,s37381,Quality-checks  ,5,60.5
11807,s37381,Initial-review-and-planning  ,1.5,60.5
11824,s37382,Initial-review-and-planning  ,6,252.5
11859,s37382,Initial-review-and-planning  ,6,252.5
11851,s37382,Communication-for-study  ,3,252.5
11810,s37382,Initial-review-and-planning  ,6.5,252.5
11813,s37382,Metadata-study-level  ,8,252.5
11822,s37382,Quality-checks  ,6,252.5
11823,s37382,Quality-checks  ,5,252.5
11855,s37382,Initial-review-and-planning  ,6,252.5
11843,s37382,Quality-checks  ,1,252.5
11821,s37382,Quality-checks  ,8,252.5
11858,s37382,Non-curation  ,0.5,252.5
11845,s37382,Transformation-of-data  ,5.5,252.5
11857,s37382,Transformation-of-data  ,8,252.5
11856,s37382,Non-curation  ,5,252.5
11853,s37382,Initial-review-and-planning  ,4,252.5
11844,s37382,Initial-review-and-planning  ,8,252.5
11854,s37382,Initial-review-and-planning  ,8,252.5
11852,s37382,Initial-review-and-planning  ,6,252.5
11847,s37382,Quality-checks  ,4,252.5
11820,s37382,Quality-checks  ,8,252.5
11849,s37382,Metadata-study-level  ,8,252.5
11819,s37382,Documentation  ,,252.5
11817,s37382,Transformation-of-data  ,5,252.5
11850,s37382,Non-curation  ,8,252.5
11818,s37382,Quality-checks  ,8,252.5
11827,s37382,Quality-checks  ,4,252.5
11826,s37382,Metadata-study-level  ,8,252.5
11834,s37382,Initial-review-and-planning  ,5,252.5
11828,s37382,Non-curation  ,8,252.5
11848,s37382,Quality-checks  ,1.5,252.5
11831,s37382,Initial-review-and-planning  ,3,252.5
11846,s37382,Quality-checks  ,6,252.5
11816,s37382,Initial-review-and-planning  ,6,252.5
11839,s37382,Quality-checks  ,7,252.5
11840,s37382,Quality-checks  ,8,252.5
11832,s37382,Non-curation  ,3,252.5
11815,s37382,Metadata-study-level  ,5,252.5
11830,s37382,Initial-review-and-planning  ,1,252.5
11809,s37382,Other  ,3,252.5
11842,s37382,Communication-for-study  ,2,252.5
11841,s37382,Communication-for-study  ,1,252.5
11811,s37382,Non-curation  ,4,252.5
11838,s37382,Quality-checks  ,1,252.5
11814,s37382,Quality-checks  ,2,252.5
11812,s37382,Metadata-study-level  ,6,252.5
11836,s37382,Other  ,1,252.5
11829,s37382,Quality-checks  ,2,252.5
11825,s37382,Non-curation  ,8,252.5
11833,s37382,Metadata-study-level  ,7,252.5
11835,s37382,Non-curation  ,1,252.5
11837,s37382,Quality-checks  ,1,252.5
11860,s37383,Transformation-of-data  ,,36
11863,s37383,Communication-for-study  ,1.5,36
11862,s37383,Quality-checks  ,2,36
11864,s37383,Metadata-study-level  ,7,36
11861,s37383,Quality-checks  ,,36
11865,s37383,Quality-checks  ,2.5,36
11866,s37383,Non-curation  ,2,36
11867,s37383,Quality-checks  ,0.5,36
11868,s37383,Other  ,0.5,36
11871,s37383,Initial-review-and-planning  ,1,36
11870,s37383,Quality-checks  ,1,36
11869,s37383,Initial-review-and-planning  ,,36
11877,s37385,Quality-checks  ,,28.5
11872,s37385,Non-curation  ,2.5,28.5
11873,s37385,Quality-checks  ,0.5,28.5
11874,s37385,Quality-checks  ,2,28.5
11875,s37385,Documentation  ,1,28.5
11876,s37385,Metadata-study-level  ,8,28.5
11881,s37385,Non-curation  ,1.5,28.5
11878,s37385,Non-curation  ,2,28.5
11879,s37385,Communication-for-study  ,1,28.5
11880,s37385,Initial-review-and-planning  ,6,28.5
11882,s37385,Other  ,0.5,28.5
11884,s37388,Metadata-study-level  ,2,27.5
11885,s37388,Other  ,0.5,27.5
11888,s37388,Initial-review-and-planning  ,6,27.5
11886,s37388,Communication-for-study  ,2.5,27.5
11883,s37388,Initial-review-and-planning  ,4,27.5
11889,s37388,Quality-checks  ,0.5,27.5
11892,s37388,Communication-for-study  ,1,27.5
11887,s37388,Non-curation  ,2,27.5
11890,s37388,Metadata-study-level  ,1,27.5
11891,s37388,Non-curation  ,2,27.5
11911,s37389,Transformation-of-data  ,1.5,42.5
11897,s37389,Quality-checks  ,5,42.5
11906,s37389,Quality-checks  ,1,42.5
11896,s37389,Initial-review-and-planning  ,6,42.5
11899,s37389,Transformation-of-data  ,2,42.5
11910,s37389,Quality-checks  ,2,42.5
11909,s37389,Transformation-of-data  ,1,42.5
11907,s37389,Quality-checks  ,1,42.5
11908,s37389,Quality-checks  ,1,42.5
11905,s37389,Quality-checks  ,2,42.5
11902,s37389,Quality-checks  ,3,42.5
11903,s37389,Transformation-of-data  ,1,42.5
11904,s37389,Quality-checks  ,3.5,42.5
11901,s37389,Initial-review-and-planning  ,1.5,42.5
11895,s37389,Initial-review-and-planning  ,1,42.5
11898,s37389,Quality-checks  ,0.5,42.5
11894,s37389,Quality-checks  ,4,42.5
11900,s37389,Metadata-study-level  ,4,42.5
11893,s37389,Documentation  ,1.5,42.5
11912,s37390,Quality-checks  ,1,21
11913,s37390,Communication-for-study  ,1.5,21
11918,s37390,Documentation  ,1,21
11917,s37390,Non-curation  ,2,21
11916,s37390,Non-curation  ,2,21
11915,s37390,Quality-checks  ,1,21
11914,s37390,Other  ,0.5,21
11919,s37390,Initial-review-and-planning  ,5,21
11920,s37390,Non-curation  ,1.5,21
11922,s37391,Non-curation  ,1.5,27
11926,s37391,Initial-review-and-planning  ,,27
11921,s37391,Other  ,1,27
11925,s37391,Transformation-of-data  ,2,27
11923,s37391,Non-curation  ,2,27
11927,s37391,Initial-review-and-planning  ,3,27
11930,s37391,Quality-checks  ,0.5,27
11924,s37391,Communication-for-study  ,2,27
11928,s37391,Quality-checks  ,,27
11929,s37391,Quality-checks  ,1.5,27
11933,s37392,Quality-checks  ,2,45
11934,s37392,Documentation  ,8.5,45
11938,s37392,Initial-review-and-planning  ,7.5,45
11931,s37392,Initial-review-and-planning  ,1,45
11935,s37392,Transformation-of-data  ,8,45
11936,s37392,Initial-review-and-planning  ,0.5,45
11932,s37392,Quality-checks  ,5.5,45
11940,s37392,Documentation  ,1,45
11941,s37392,Quality-checks  ,2,45
11944,s37392,Transformation-of-data  ,1,45
11939,s37392,Communication-for-study  ,1,45
11937,s37392,Documentation  ,4,45
11942,s37392,Quality-checks  ,1,45
11943,s37392,Quality-checks  ,2,45
11961,s37393,Initial-review-and-planning  ,0.5,57.5
11952,s37393,Transformation-of-data  ,6,57.5
11950,s37393,Quality-checks  ,1,57.5
11951,s37393,Quality-checks  ,2.5,57.5
11945,s37393,Quality-checks  ,4.5,57.5
11947,s37393,Quality-checks  ,5.5,57.5
11955,s37393,Quality-checks  ,1,57.5
11963,s37393,Quality-checks  ,8.5,57.5
11946,s37393,Quality-checks  ,0.5,57.5
11954,s37393,Transformation-of-data  ,1,57.5
11962,s37393,Quality-checks  ,2,57.5
11956,s37393,Quality-checks  ,1,57.5
11948,s37393,Transformation-of-data  ,1,57.5
11965,s37393,Metadata-study-level  ,6,57.5
11957,s37393,Quality-checks  ,1.5,57.5
11964,s37393,Transformation-of-data  ,1,57.5
11959,s37393,Quality-checks  ,4,57.5
11960,s37393,Quality-checks  ,1,57.5
11958,s37393,Quality-checks  ,2,57.5
11953,s37393,Transformation-of-data  ,1.5,57.5
11949,s37393,Quality-checks  ,5.5,57.5
11969,s37394,Quality-checks  ,0.5,38
11973,s37394,Initial-review-and-planning  ,8,38
11971,s37394,Transformation-of-data  ,3.5,38
11972,s37394,Documentation  ,6,38
11966,s37394,Quality-checks  ,4.5,38
11967,s37394,Other  ,0.5,38
11968,s37394,Documentation  ,7,38
11970,s37394,Documentation  ,4,38
11977,s37395,Quality-checks  ,1,38
11978,s37395,Other  ,,38
11979,s37395,Quality-checks  ,,38
11981,s37395,Metadata-study-level  ,,38
11987,s37395,Quality-checks  ,6,38
11986,s37395,Quality-checks  ,1,38
11980,s37395,Initial-review-and-planning  ,,38
11988,s37395,Initial-review-and-planning  ,1.5,38
11982,s37395,Quality-checks  ,1,38
11984,s37395,Quality-checks  ,0.5,38
11976,s37395,Quality-checks  ,1,38
11975,s37395,Initial-review-and-planning  ,0.5,38
11974,s37395,Quality-checks  ,,38
11983,s37395,Transformation-of-data  ,,38
11985,s37395,Quality-checks  ,1.5,38
12005,s37399,Non-curation  ,5.5,67.5
11995,s37399,Transformation-of-data  ,8,67.5
11999,s37399,Transformation-of-data  ,3,67.5
11991,s37399,Transformation-of-data  ,8,67.5
11990,s37399,Non-curation  ,4.5,67.5
11989,s37399,Quality-checks  ,0.5,67.5
11996,s37399,Non-curation  ,5.5,67.5
11998,s37399,Non-curation  ,2.5,67.5
11992,s37399,Non-curation  ,0.5,67.5
11997,s37399,Quality-checks  ,4,67.5
12000,s37399,Transformation-of-data  ,8,67.5
12002,s37399,Initial-review-and-planning  ,0.5,67.5
12003,s37399,Transformation-of-data  ,4.5,67.5
12004,s37399,Non-curation  ,4.5,67.5
12001,s37399,Quality-checks  ,1.5,67.5
11993,s37399,Quality-checks  ,0.5,67.5
11994,s37399,Non-curation  ,1.5,67.5
12006,s37400,Quality-checks  ,4,21
12007,s37400,Quality-checks  ,2,21
12008,s37400,Transformation-of-data  ,4,21
12009,s37400,Metadata-study-level  ,5,21
12010,s37400,Initial-review-and-planning  ,0.5,21
12012,s37400,Transformation-of-data  ,2,21
12011,s37400,Quality-checks  ,0.5,21
12013,s37400,Quality-checks  ,3,21
12016,s37402,Documentation  ,1.5,108.5
12036,s37402,Communication-for-study  ,3,108.5
12033,s37402,Non-curation  ,3.5,108.5
12034,s37402,Non-curation  ,5,108.5
12015,s37402,Non-curation  ,8,108.5
12029,s37402,Non-curation  ,9,108.5
12030,s37402,Communication-for-study  ,5,108.5
12032,s37402,Initial-review-and-planning  ,,108.5
12021,s37402,Quality-checks  ,3,108.5
12027,s37402,Non-curation  ,7,108.5
12017,s37402,Transformation-of-data  ,,108.5
12031,s37402,Communication-for-study  ,7,108.5
12014,s37402,Communication-for-study  ,,108.5
